,TNBC1,TNBC2,TNBC3,Normal1,Normal2,Normal3
ENSG00000008988,15258,15077,144720,12095,43544,46883
ENSG00000009307,14660,20767,8678,13774,23030,18917
ENSG00000019582,50866,55775,15089,6696,13754,86319
ENSG00000026025,21174,47966,26682,6068,21126,12728
ENSG00000034510,25645,31574,56403,29590,25216,37199
ENSG00000044574,23910,27200,13757,13364,10852,12378
ENSG00000063177,9255,10984,33072,10314,13224,21575
ENSG00000067225,22102,40975,10943,14143,38141,22595
ENSG00000069275,9035,9083,19567,21022,19507,14106
ENSG00000070756,41697,46390,37031,76556,108067,52278
ENSG00000071082,9153,9289,33090,6581,19099,39213
ENSG00000074800,56540,50547,10352,10979,21525,31140
ENSG00000080824,59290,39257,25690,26326,95039,23057
ENSG00000084234,5818,17409,8032,16728,5661,15464
ENSG00000085063,11921,19696,10248,9538,10546,22010
ENSG00000087086,35567,67249,28968,15437,27195,36701
ENSG00000087460,31421,34051,272582,62891,113274,36358
ENSG00000089009,6111,7027,16060,7059,18184,24416
ENSG00000089157,30069,22685,23836,27327,38262,69553
ENSG00000092841,11134,24700,16352,10493,4620,16438
ENSG00000094755,14711,15684,5821,15851,24636,68884
ENSG00000096384,59784,43507,17744,35354,35832,36432
ENSG00000096696,28900,37865,9205,14152,20149,6803
ENSG00000099194,3835,12340,1089,917,18276,3855
ENSG00000100316,20748,16474,23862,28726,13939,59488
ENSG00000100345,39014,60438,19831,27242,18923,2826
ENSG00000102144,17069,24891,2996,3225,6211,10198
ENSG00000102265,4112,5062,26420,3712,19203,2200
ENSG00000104332,3362,14245,18907,24177,8683,12223
ENSG00000104341,4144,5393,8567,6898,17352,13838
ENSG00000104408,7584,6717,16939,12468,20316,16327
ENSG00000104419,2182,41127,10330,9905,697,4450
ENSG00000104447,8452,12740,13556,9644,3014,5018
ENSG00000104964,3916,5575,23380,21551,7130,4511
ENSG00000105193,14486,11634,20053,8681,16726,22495
ENSG00000105372,16736,15698,34403,13767,18369,32186
ENSG00000107372,3878,2960,4249,12451,12589,2318
ENSG00000107796,3560,17422,25499,2759,2923,1354
ENSG00000108107,10180,10087,26778,9035,14294,34519
ENSG00000108298,12703,12054,172893,18859,12995,27238
ENSG00000108518,18820,19988,20111,10431,13828,31013
ENSG00000108679,11127,21552,2567,816,9520,9194
ENSG00000108821,103007,109430,72188,10786,25238,8781
ENSG00000109475,3252,3370,22390,8434,9654,22057
ENSG00000109971,24089,32424,4522,15079,20707,37936
ENSG00000110321,25652,23285,7422,24657,21942,20373
ENSG00000111328,7952,4788,19665,19465,23457,7094
ENSG00000111341,2387,31750,42924,29501,20446,32207
ENSG00000111640,54616,109053,83651,41827,212582,185444
ENSG00000111669,7890,16230,7167,7154,17377,41217
ENSG00000111716,8381,4409,6086,8845,17028,50454
ENSG00000112306,21685,11060,15057,8416,19246,62960
ENSG00000112378,8346,9868,3935,13823,17331,4849
ENSG00000113140,55759,36251,82430,9884,21956,23672
ENSG00000114391,7472,5641,19827,13841,15816,21682
ENSG00000114867,12455,15303,4201,10952,2707,9098
ENSG00000115053,27678,15105,9783,20000,14741,20057
ENSG00000115414,74123,351603,42180,17020,38634,14152
ENSG00000115415,12501,24041,1207,1728,7817,8985
ENSG00000115461,4141,32629,6766,2965,3400,13156
ENSG00000115884,13549,20403,5160,7786,2866,1643
ENSG00000116133,1013,11153,1277,13023,11248,4842
ENSG00000117228,11598,14542,693,420,2386,4197
ENSG00000117632,12312,8028,10799,18233,21123,9936
ENSG00000117984,23361,31877,19194,11070,2602,12714
ENSG00000118785,2669,16802,2612,427,2098,17344
ENSG00000120885,2836,22302,7393,1267,879,17051
ENSG00000122218,20799,18578,8207,11719,18828,12008
ENSG00000122406,13703,15211,24304,15692,34921,60437
ENSG00000123416,22415,26743,19162,73337,19433,32414
ENSG00000124614,3521,6424,11177,3768,13610,18251
ENSG00000124766,4076,3213,13025,25328,8606,5518
ENSG00000124942,16910,28164,5561,1904,3163,7273
ENSG00000125691,4081,5661,74253,8033,10535,18578
ENSG00000125730,10608,5478,818,573,2249,14484
ENSG00000130255,3050,6205,22557,4657,6480,14331
ENSG00000131771,0,2785,76859,12058,1979,15
ENSG00000132507,8034,8773,17322,4305,12540,18860
